,id,title,company,location,posted_date,description,year,month,job_role,clean_description,skills
0,5583489268,Backend Developer,Six Sense Mobility,"New Delhi, Delhi",2026-01-14 09:15:04+00:00,"We are looking for a Backend Developer to join our engineering team and help us develop and maintain various software products. Software Developer responsibilities include writing and testing code, debugging programs and integrating applications with third-party web services. To be successful in this role, you should have experience using server-side logic and work well in a team. Experience required - 1-3 Years Framework - Django, Spring, Node IDE- vscode (preferred) Protocol - API development…",2026,1,Full Stack Developer,"we are looking for a backend developer to join our engineering team and help us develop and maintain various software products software developer responsibilities include writing and testing code, debugging programs and integrating applications with third party web services to be successful in this role, you should have experience using server side logic and work well in a team experience required 1 3 years framework django, spring, node ide vscode preferred protocol api development","['node', 'ai']"
1,5583456974,Backend Developer,IBM,"Pune, Maharashtra",2026-01-14 08:55:46+00:00,"Introduction At IBM Infrastructure & Technology, we design and operate the systems that keep the world running. From high-resiliency mainframes and hybrid cloud platforms to networking, automation, and site reliability. Our teams ensure the performance, security, and scalability that clients and industries depend on every day. Working in Infrastructure & Technology means tackling complex challenges with curiosity and collaboration. You'll work with diverse technologies and colleagues worldwide …",2026,1,Cloud Engineer,"introduction at ibm infrastructure technology, we design and operate the systems that keep the world running from high resiliency mainframes and hybrid cloud platforms to networking, automation, and site reliability our teams ensure the performance, security, and scalability that clients and industries depend on every day working in infrastructure technology means tackling complex challenges with curiosity and collaboration you ll work with diverse technologies and colleagues worldwide",['ai']
2,5501263757,Backend Developer,Entytle,"Pune, Maharashtra",2025-11-18 09:02:54+00:00,"We are seeking a Backend Engineer with 8 years of experience who can design, build, and maintain scalable applications. The ideal candidate is strong in Java, AWS, Spring, Hibernate, PostgreSQL, React, Data Structures, System Design, Microservices, and Agile Development . Exposure to Python and AI/ML is a plus. Candidates should be quick learners , comfortable with AI-assisted coding tools (Cursor, GitHub Copilot), and productive from Day 1 . Key Responsibilities. Design & develop scalable full…",2025,11,Full Stack Developer,"we are seeking a backend engineer with 8 years of experience who can design, build, and maintain scalable applications the ideal candidate is strong in java, aws, spring, hibernate, postgresql, react, data structures, system design, microservices, and agile development exposure to python and ai ml is a plus candidates should be quick learners , comfortable with ai assisted coding tools cursor, github copilot , and productive from day 1  design develop scalable full","['python', 'java', 'react', 'aws', 'sql', 'ai', 'ml']"
3,5587678165,Backend Developer,Faxtor,India,2026-01-16 15:35:38+00:00,"We’re Hiring: Back-End Developer (PHP  MySQL  AWS) Company Description Faxtor is a custom software solutions company specialising in business and process automation. We build backend systems that power ERPs, CRMs, dashboards, and custom platforms - helping businesses streamline operations and make better decisions. Location: Remote / Bangalore / Mumbai Experience: Minimum 2 years Budget : As per industry standards Faxtor is expanding it's engineering team and is looking for a Back-End Developer…",2026,1,Cloud Engineer,"we re hiring back end developer php mysql aws company description faxtor is a custom software solutions company specialising in business and process automation we build backend systems that power erps, crms, dashboards, and custom platforms helping businesses streamline operations and make better decisions location remote bangalore mumbai experience minimum 2 years budget as per industry standards faxtor is expanding it s engineering team and is looking for a back end developer","['aws', 'sql', 'ai', 'ml']"
4,5570925531,Java Backend developer,LTIMindtree Banking & Financial Services,"Bangalore, Karnataka",2026-01-07 09:30:47+00:00," We’re Hiring: Java Backend Developer | Bangalore |Pune| Chennai| Noida| Gurgaon| Kolkata We’re looking for a strong Java Backend Developer with expertise in Java, Spring Boot & Microservices to join our high-performing tech team! What you’ll do:  Build scalable backend services using Java & Spring Boot  Design and develop Microservices-based architectures  Integrate RESTful APIs and improve performance  Troubleshoot, optimize, and deliver high-quality backend solutions  Work in an Agile/Scrum …",2026,1,Java Developer,"we re hiring java backend developer bangalore pune chennai noida gurgaon kolkata we re looking for a strong java backend developer with expertise in java, spring boot microservices to join our high performing tech team what you ll do build scalable backend services using java spring boot design and develop microservices based architectures integrate restful apis and improve performance troubleshoot, optimize, and deliver high quality backend solutions work in an agile scrum","['java', 'ai']"
5,5575165042,Junior BackEnd Developer,SBNRI,India,2026-01-09 08:22:39+00:00," We’re Hiring | Junior Backend Developer  Location: Gurgaon (Gurugram)  Experience: 6 months – 1 year | Tier 1 only  Company: SBNRI SBNRI is on a mission to simplify financial life for NRIs worldwide. We’re looking for a Junior Backend Developer from a Tier 1 engineering college to join our fast-growing fintech startup and build scalable backend systems.  What You’ll Do Build and maintain backend services and REST APIs Work closely with frontend, product, and QA teams Write clean, efficient, an…",2026,1,Other,"we re hiring junior backend developer location gurgaon gurugram experience 6 months 1 year tier 1 only company sbnri sbnri is on a mission to simplify financial life for nris worldwide we re looking for a junior backend developer from a tier 1 engineering college to join our fast growing fintech startup and build scalable backend systems what you ll do build and maintain backend services and rest apis work closely with frontend, product, and qa teams write clean, efficient, an",['ai']
6,5577827542,Java Backend Developer,YourTribe,"Chennai, Tamil Nadu",2026-01-10 18:29:28+00:00,"Job Description We are seeking an experienced Java Backend Developer to design, develop, and maintain scalable backend applications. You will work on RESTful APIs, microservices, and database integrations while collaborating with frontend and cross-functional teams to deliver high-quality, robust solutions. Key Responsibilities: Develop and maintain backend applications using Java , Spring Boot , and Hibernate/JPA . Design and implement RESTful APIs and microservices for scalable systems. Optim…",2026,1,Java Developer,"job description we are seeking an experienced java backend developer to design, develop, and maintain scalable backend applications you will work on restful apis, microservices, and database integrations while collaborating with frontend and cross functional teams to deliver high quality, robust solutions  develop and maintain backend applications using java , spring boot , and hibernate jpa design and implement restful apis and microservices for scalable systems optim","['java', 'ai']"
7,5255665378,Java Backend Developer,Best Infosystems Ltd.,"Chennai, Tamil Nadu",2025-06-18 08:44:05+00:00,"Java Backend Developer_Full-Time_Chennai, Pune_WFO All 5 days Job Title: Java Backend Developer Job Type: Full-Time Location: Chennai, Pune Experience: 7-10 Years Tech Stacks Required: Java Backend: Tech Stacks: Java, Spring Boot, Microservices, Any Database, and Any Messaging Queue (preferably Kafka). Job Description: Skill: Java Backend / Spring Boot Must Have skills: *JDK 11 experience *Lambdas, Streams, Functional Interfaces *Concurrent programming *Spring boot / Spring MVC *Spring JDBC / M…",2025,6,Java Developer,"java backend developer full time chennai, pune wfo all 5 days job title java backend developer job type full time location chennai, pune experience 7 10 years tech stacks required java backend tech stacks java, spring boot, microservices, any database, and any messaging queue preferably kafka job description skill java backend spring boot must have skills jdk 11 experience lambdas, streams, functional interfaces concurrent programming spring boot spring mvc spring jdbc m","['java', 'ai']"
8,5556102824,Senior Backend Developer,Idea Elan India,India,2025-12-26 08:36:19+00:00,"Senior Backend Developer Company Description : Idea Elan LLC is a product based company that provides comprehensive software solutions for research facilities in Universities and Institutions worldwide. Please visit www.IdeaElan.com for more information. Key Responsibilities: ● Design and develop high-performance, scalable, and secure backend APIs and services using .NET Core. ● Work with relational (MS-SQL) and NoSQL (Cosmos DB, MongoDB) databases to create optimized data models and ensure dat…",2025,12,Other,"senior backend developer company description idea elan llc is a product based company that provides comprehensive software solutions for research facilities in universities and institutions worldwide please visit www ideaelan com for more information  design and develop high performance, scalable, and secure backend apis and services using net core work with relational ms sql and nosql cosmos db, mongodb databases to create optimized data models and ensure dat",['sql']
9,5579236663,Java Backend Developer,People Prime Worldwide,"Bangalore, Karnataka",2026-01-11 14:54:28+00:00,"About the Company Our client is a trusted global innovator of IT and business services, operating across multiple geographies. They specialize in digital transformation, application modernization, cloud services, and enterprise technology solutions. With a strong focus on engineering excellence, they enable organizations to build scalable, secure, and future-ready digital platforms. Role: Java Backend Developer Experience: 9  Years Work Location: Bengaluru Payroll on : People Prime World Wide N…",2026,1,Cloud Engineer,"about the company our client is a trusted global innovator of it and business services, operating across multiple geographies they specialize in digital transformation, application modernization, cloud services, and enterprise technology solutions with a strong focus on engineering excellence, they enable organizations to build scalable, secure, and future ready digital platforms role java backend developer experience 9 years work location bengaluru payroll on people prime world wide n",['java']
